Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
7.306729888916015625e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.405699999999999861e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.406832504272460938e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.399200000000000088e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.506935691833496094e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.405699999999999861e+01,2.363800000000000168e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.607019901275634766e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.405699999999999861e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.707123184204101562e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.405699999999999861e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.807191014289855957e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.405699999999999861e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.907294511795043945e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.007397913932800293e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.107501196861267090e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.405699999999999861e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.207549619674682617e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.307652711868286133e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.402400000000000091e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.407755684852600098e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.507820415496826172e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.607923603057861328e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.405699999999999861e+01,2.357300000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.708026695251464844e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.808132386207580566e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.908235311508178711e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.405699999999999861e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.008339095115661621e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.357300000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.108442306518554688e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.405699999999999861e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.208545398712158203e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.308576703071594238e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.408621501922607422e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.508723902702331543e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.608827209472656250e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.708930182456970215e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.809033489227294922e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.909136295318603516e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000915310382843018e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.010926010608673096e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.020931639671325684e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.030941910743713379e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.040952298641204834e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.050962731838226318e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.060968251228332520e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.070978600978851318e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.080988898277282715e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.090999310016632080e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.101002788543701172e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.408899999999999864e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.111013059616088867e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.121023368835449219e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.131033589839935303e+02,8.000000000000000000e+01,0.000000000000000000e+00,2.412099999999999866e+01,2.354100000000000037e+01,2.300000000000000000e+01,2.300000000000000000e+01
